ID,Person,Survey_Type,Score,Comment,Permalink,Created_At,Updated_At
124746053,610912155,nps,6,,https://app.delighted.com/r/Q7bTn64ygCBwgZw2PgVMAyipXwSEPhqc,05/07/2020 17:45:36,05/07/2020 17:46:49
124746082,610912199,nps,1,,https://app.delighted.com/r/PSevLC3RElI2uDUZ38TlOp7bv8m9ouRA,05/07/2020 17:45:46,05/07/2020 17:46:55
124746088,610912211,nps,0,,https://app.delighted.com/r/ON0NZix3Q2h7u9nXBJWHAHNFUTRZ0MoX,05/07/2020 17:45:48,05/07/2020 17:47:08
124746156,610912304,nps,8,,https://app.delighted.com/r/jLqUHG0vwtxfu2scLr0QuYvy4uPAtzHo,05/07/2020 17:46:00,05/07/2020 17:47:09
124746200,610912327,nps,10,,https://app.delighted.com/r/px8SYjyfDD1LIeMbbchixfAPb2EVPqMd,05/07/2020 17:46:12,05/07/2020 17:46:12
124746213,610912360,nps,9,,https://app.delighted.com/r/5ET3RuPE5adJNgxAc2pCTStv9qyJdlrE,05/07/2020 17:46:14,05/07/2020 17:47:30
124746232,610912401,nps,1,,https://app.delighted.com/r/ImEzxu3FwRrpmr2d4RSHO7FxNW44ZCdZ,05/07/2020 17:46:18,05/07/2020 17:47:27
124746244,610912449,nps,7,,https://app.delighted.com/r/YQUl6rq4qwHUtSofgO2Li9gWwTlBJdsY,05/07/2020 17:46:19,05/07/2020 18:00:25
124746351,610912512,nps,0,,https://app.delighted.com/r/iL6ifXRHpldBDc6j15juWxmyksxKcqsz,05/07/2020 17:46:40,05/07/2020 17:47:55
124746360,610912560,nps,10,,https://app.delighted.com/r/fG5NLaLyJCCOTrwLTuqRf8XCk9CJfVHJ,05/07/2020 17:46:41,05/07/2020 17:46:41
124746452,610912467,nps,10,"Ease of completing forms, content easily understanding content. Relief knowing a legal document was handled by reputable company.",https://app.delighted.com/r/HNBgq3jjzvnhaDIYRrnjKKQTsGFfFPF4,05/07/2020 17:46:57,05/07/2020 17:49:50
124746465,610912120,nps,10,The process was smooth and the took less than 30 minutes to complete.  I appreciate the time saved as I don't have a complex estate.,https://app.delighted.com/r/hQmHlQv7qvlSTnYrTVmcW3HysHX0zumM,05/07/2020 17:46:59,05/07/2020 17:47:43
124746463,610912667,nps,1,,https://app.delighted.com/r/AHiyhvFuhvzaV6EBz6iAToC2bWUJndyc,05/07/2020 17:46:59,05/07/2020 17:48:11
124746522,610912747,nps,9,,https://app.delighted.com/r/ChQlUJEmdBWQEWVf54UH8Msq4XdbvmZK,05/07/2020 17:47:09,05/07/2020 17:50:33
124746554,610912748,nps,7,,https://app.delighted.com/r/MPYJB1tGMRWJr9Jd3pQZ0nqW96ERuh2c,05/07/2020 17:47:14,05/07/2020 17:49:56
124746647,610912649,nps,10,The ease of your forms.,https://app.delighted.com/r/xx3vwcgv4J9ImzqWRDflFUyyObp1hsuN,05/07/2020 17:47:29,05/07/2020 17:48:01
124746644,610912850,nps,10,,https://app.delighted.com/r/yhpyn39RyuXCDaJGHuIBTkwVI5oJTdhr,05/07/2020 17:47:29,05/07/2020 17:48:47
